WORKBOOK: Wallkill CapEx Push.xlsx
--- SHEET: CapEx Spend by FY (2) rows=38 cols=10 ---
001:  |  |  |  |  |  |  |  |  | 
002:  |  |  |  |  |  |  |  |  | 
003:  |  |  |  |  |  |  |  |  | 
004:  |  |  |  |  |  |  |  |  | 
005:  |  |  |  |  |  |  |  |  | 
006:  | Wallkill  - Original  |  |  |  |  |  |  |  | 
007:  | MODEL INPUTS |  | Total | FY26 | FY27 | FY28 | FY29 | FY30 | FY31
008:  | Total Capex Budget | Capex | 1748497450.922559 | 0 | 137128614.8687699 | 615371505.0856519 | 568759117.1727676 | 407859025.80903685 | 110278379.92898646
009:  | LAND | Capex | 0 | 0 | 0 | 0 | 0 | 0 | 0
010:  | CONSTRUCTION | Capex | 839292340.003 | 0 | 71000000 | 460255404.0018 | 230487702.0009 | 77549234.0003 | 
011:  | ENERGY | Capex | 26445175.3 | 0 | 2644518 | 9255810 | 11900329.299999999 | 2644518 | 0
012:  | INITIAL ORDER | Capex | 5647534.87 | 0 | 0 | 0 | 791027.67 | 4856507.2 | 0
013:  | MHE | Capex | 744882442.8069053 | 0 | 57193342.2713019 | 114386684.5426038 | 251290540.44509178 | 228660338.16777393 | 93351537.38013388
014:  | TECHNOLOGY | Capex | 41330766 | 0 | 4133077 | 20665383 | 16532306 | 0 | 0
015:  | INTERIM INTEREST | Capex | 90899191.94265383 | 0 | 1078838.79873401 | 5404111.770624082 | 28878605.878387988 | 47074214.22048146 | 8463421.274426289
016:  | CONSTRUCTION | Capex | 37126987.08360429 | 0 | 0 | 1963109.5890410957 | 14458647.660948161 | 20705229.833615035 | 
017:  | MHE | Capex | 53772204.85904954 | 0 | 1078838.79873401 | 3441002.181582986 | 14419958.217439827 | 26368984.386866428 | 8463421.274426289
018:  |  |  |  |  |  |  |  |  | 
019:  | Wallkill Updated |  |  |  |  |  |  |  | 
020:  | MODEL INPUTS |  | Total | FY26 | FY27 | FY28 | FY29 | FY30 | FY31
021:  | Total Capex Budget | Capex | 1730322546.6698313 | 0 | 58621908.75496742 | 94018123.60878998 | 680835829.9349009 | 642067514.8228905 | 254779169.54828277
022:  | Total ex Interim Interest |  | 1657598258.9799051 | 0 | 57563819.2713019 | 89523898 | 661560081.315032 | 602059329.5214638 | 246891130.87210774
023:  | LAND | Capex | 0 | 0 | 0 | 0 | 0 | 0 | 0
024:  | Construction | Capex | 839292340.003 | 0 | 0 | 71000000 | 460255404.0018 | 230487702.0009 | 77549234.0003
025:  | ENERGY | Capex | 26445175.3 | 0 | 376135 | 11524193 | 11900329.299999999 | 2644518 | 0
026:  | INITIAL ORDER | Capex | 5647534.87 | 0 | 0 | 0 | 791027.67 | 4856507.2 | 0
027:  | MHE | Capex | 744882442.8069053 | 0 | 56093342.2713019 | 0 | 171707194.34323198 | 351060357.32056373 | 166021548.87180775
028:  | TECHNOLOGY | Capex | 41330766 | 0 | 1094342 | 6999705 | 16906126 | 13010245 | 3320348
029:  | INTERIM INTEREST | Capex | 72724287.68992613 | 0 | 1058089.4836655168 | 4494225.608789979 | 19275748.619868893 | 40008185.301426716 | 7888038.676175028
030:  | CONSTRUCTION | Capex | 37126987.08360429 |  | 0 | 1963109.5890410957 | 14458647.660948161 | 20705229.833615035 | 0
031:  | MHE | Capex | 35597300.60632184 |  | 1058089.4836655168 | 2531116.0197488833 | 4817100.958920733 | 19302955.46781168 | 7888038.676175028
032:  |  |  |  |  |  |  |  |  | 
033:  |  |  |  |  |  |  |  |  | 
034:  |  |  |  | FY26 | FY27 | FY28 | FY29 | FY30 | FY31
035:  |  |  | (-) Pushed CapEx to Year | 0 | -78506706.1138025 | -521353381.4768619 | 112076712.76213324 | 234208489.01385367 | 144500789.6192963
036:  |  |  |  |  |  |  |  |  | 
037:  |  |  |  |  |  |  |  |  | 
038:  |  |  |  | -18174904.252727747 | Reduction in Interium Iterest by MHE |  |  |  | 
