ship_node_org_cd,ship_node_org_nm,item_type,sort_flg,NEXT_GEN_FLAG,IP_Flag,fulmnt_channel,sales_qty
220699,Trademark Global LLC - Lorain OH,1P,Others,OTHER,Others,FC,10923
9505202,Flat River Group LLC - Kentwood MI,1P,Others,OTHER,Others,FC,4761
7201153,MACHINEHOME INC-Lithia Springs-GA-3901f0d5-f5e0-40cd-94a8-b8e225f08ae0,1P,Others,OTHER,Others,FC,1493
483941,Monarch Specialties Inc - Champlain NY,1P,Others,OTHER,Others,FC,180
41354501,Target Marketing Systems Inc - Carol Stream IL DC 1,1P,Others,OTHER,Others,FC,788
76056406,NPS PUBLIC FURNITURE CORP-clifton-NJ-6,1P,Others,OTHER,Others,FC,55
66510202,Almo Fullfillment Services Wes - Philadelphia PA DC 1,1P,Others,OTHER,Others,FC,260
52725420,Goodyear Tire And Rubber Co - Louisville KY,1P,Others,OTHER,Others,FC,1309
4044021,Wise Tiger LLC-Ontario-CA-ebe5d698-3236-40af-85d3-578a4f170460,1P,Others,OTHER,Others,FC,4472
73295808,"COKeM INTERNATIONAL, Ltd.-SHEPHERDSVILLE-KY-6",1P,Others,OTHER,Others,FC,1594
74894003,Cascade Mountain Technologies LLC-Snoqualmie-WA-3,1P,Others,OTHER,Others,FC,139
556530,WHITMOR INC-Southaven-MS-1,1P,Others,OTHER,Others,FC,388
63360507,Comptree Inc - Dayton NJ,1P,Others,OTHER,Others,FC,547
3166915,Gold Wing Trading Inc-Grand Prairie-TX-15,1P,Others,OTHER,Others,FC,37
43127658,Cofree-Flower Mound-TX-8d6f5318-ead2-4245-ba27-83ef0702faab,1P,Others,OTHER,Others,FC,154
61454229,SIMPLE TIRE LLC-Phoenix-AZ-1c108e41-3ec9-4991-946f-18afcc98e78d,1P,Others,OTHER,Others,FC,1004
4225,PHL4n Shippensburg PA 4300,WFS,Others,OTHER,Others,FC,422749
57998,Abble Inc - Rancho Cucamonga CA,1P,Others,OTHER,Others,FC,4582
47482239,ON DEMAND TIRES LLC-Carlisle-PA-b56e3563-affa-4fd5-8fa4-b12a9f1e764d,1P,Others,OTHER,Others,FC,1426
431766,"NICHE SOURCING, INC.-nj-NJ-f8887f72-c5cb-46f0-94aa-e7273aeac03c",1P,Others,OTHER,Others,FC,1531
84104402,Ferguson Enterprises Inc - Stockton CA,1P,Others,OTHER,Others,FC,27
38631,DFW6 Fort Worth TX FC 3865,1P,Sort,OTHER,Others,FC,728634
42932903,Dna Motor Inc.-Florence-NJ-3,1P,Others,OTHER,Others,FC,53
61454244,SIMPLE TIRE LLC-Carrollton-TX-4e9d7f5f-7c2a-4fe3-b8cd-961805c1b90c,1P,Others,OTHER,Others,FC,3303
42838604,Wayli International LLC-Chino-CA-32f2b855-751e-4ab8-97e8-bd74a31236b9,1P,Others,OTHER,Others,FC,3
69601,Best Industries Pvt Ltd - Kearny NJ,1P,Others,OTHER,Others,FC,3
63360505,Comptree Inc - Atlanta GA,1P,Others,OTHER,Others,FC,161
794628,Splash About International Lim - Indian Trail NC,1P,Others,OTHER,Others,FC,503
61454275,SIMPLE TIRE LLC-Warren-MI-95d3b957-5fe3-4988-b352-aa6dc9fe96f0,1P,Others,OTHER,Others,FC,1273
66170503,Textiles From Europe - Cranbury NJ,1P,Others,OTHER,Others,DFS,1
86207109,"ALVANTOR INDUSTRY CO., LTD.-Houston-TX-ae254e87-69fc-4a45-b92a-14ce42a09eb3",1P,Others,OTHER,Others,FC,124
200973,Cynergy Trading Corp - Los Angeles CA,1P,Others,OTHER,Others,FC,13
9077818,Wge West Group Inc-Port Wentworth-GA-82dfc547-6dde-4bfc-92d8-7c19fd244131,1P,Others,OTHER,Others,FC,3
29821,DFW5s Lancaster TX FC 3006,WFS,Sort,NEXT_GEN,Others,FC,1521931
1523726,711 E Ben White Blvd - Austin,1P,Others,OTHER,Others,FC,3
395954,Peerless Chain Company - Clackamas OR,1P,Others,OTHER,Others,FC,235
47048402,Innocor Inc - West Chicago IL,1P,Others,OTHER,Others,FC,430
62832615,Delticom North America Inc - PT NC DC 15,1P,Others,OTHER,Others,FC,443
424504,Wholesale Interiors Inc - Aurora IL,1P,Others,OTHER,Others,FC,1852
52725486,GOODYEAR TIRE & RUBBER CO-Kennesaw-GA-84,1P,Others,OTHER,Others,FC,1084
82300502,ZNDER INC.-Pottsville-PA-2,1P,Others,OTHER,Others,FC,24
61454235,SIMPLE TIRE LLC-Lubbock-TX-ed77701b-7604-4150-b5a1-f9847eaa5bdf,1P,Others,OTHER,Others,FC,430
10214713,SERTA LLC-Pico Rivera-CA-f678fa9b-4263-4ce9-aaa4-2e71ceba7668,1P,Others,OTHER,Others,FC,193
63360503,Comptree Inc - Dayton NJ,1P,Others,OTHER,Others,FC,71
62832694,DELTICOM NORTH AMERICA INC-EAST HARTFORD-CT-94,1P,Others,OTHER,Others,FC,218
41783,ShelterLogic Corp - Watertown CT,1P,Others,OTHER,Others,FC,103
34179301,Istar Jewelry LLC - Pine Brook NJ,1P,Others,OTHER,Others,FC,117
47482160,ON DEMAND TIRES LLC-Dallas-TX-a625ebfb-44b3-46af-bd8a-7ba6eb657cca,1P,Others,OTHER,Others,FC,2324
61454268,SIMPLE TIRE LLC-Cedar Rapids-IA-806bcbd6-0c82-44c5-8c8b-c67dd491736e,1P,Others,OTHER,Others,FC,348
7251902,Quifly Inc-Rancho Cucamonga-CA-2,1P,Others,OTHER,Others,FC,3
43162019,SAFAVIEH INTL LLC-Whitestown-IN-7a5f9f51-bd6f-428c-81e0-7b76cdc60e5e,1P,Others,OTHER,Others,FC,118
45056203,TZUMI ELECTRONICS LLC-Chino-CA-3,1P,Others,OTHER,Others,FC,11
7042135,US NOVA LLC-Houston-TX-1529b9fc-e08d-44e7-b86d-6ebdc7d7e135,1P,Others,OTHER,Others,FC,21
96096302,MIDWEST QUALITY GLOVES INC-Chillicothe-MO-1,1P,Others,OTHER,Others,FC,7
60510005,Reliable Tire Distributors Inc - East Hartford CT,1P,Others,OTHER,Others,FC,10
83559294,Carrolls LLC - Grovetown GA,1P,Others,OTHER,Others,FC,110
43148928,Verona Sky International Tradi-Montclair-CA-6e4fdc2f-7814-40b9-b0df-2e170d8769b3,1P,Others,OTHER,Others,FC,20
7201155,MACHINEHOME INC-Houston-TX-5f3c3a8b-fbdc-45da-a3d2-0c5ee91fbaa0,1P,Others,OTHER,Others,FC,1225
23909503,Schwarz Partners Packaging LLC-Milford-OH-2,1P,Others,OTHER,Others,FC,13448
633326,Josey Skateland Inc - Lewisville TX,1P,Others,OTHER,Others,FC,257
83068003,"GoLabs, Inc.-Chino-CA-3",1P,Others,OTHER,Others,FC,15
66170503,Textiles From Europe - Cranbury NJ,1P,Others,OTHER,Others,FC,11180
4494548,C&Q INTERNATIONAL CORP-Sumner-WA-aac54f90-7c3f-41a5-adc4-014b97536c29,1P,Others,OTHER,Others,FC,183
10811503,WILD GROUP DEVELOPMENT INC-Fontana-CA-cb1c7f6e-336c-40dd-987f-714897450eb0,1P,Others,OTHER,Others,FC,9
28021,IND3 Mccordsville IN FC 7552,1P,Sort,NEXT_GEN,Others,FC,2477922
6398119,UNICORN TIRE CORPORATION-Kutztown-PA-d0d05ed0-9684-4377-9ecb-1c59dffc191f,1P,Others,OTHER,Others,FC,6922
7739363,HONGGE LLC-Easton-PA-78a9c975-79fa-4454-a754-81ef42037251,1P,Others,OTHER,Others,FC,69
484423,Kent International Inc - Kearny NJ,1P,Others,OTHER,Others,FC,2
86186403,Carpenter Co - Elkhart IN,1P,Others,OTHER,Others,FC,3
47482175,ON DEMAND TIRES LLC-Bedford Park-IL-b749e679-05b8-4841-97d4-64eeb634b318,1P,Others,OTHER,Others,FC,971
669895,Aurora Corporation Of America - Torrance CA,1P,Others,OTHER,Others,FC,1012
23032604,PIC CORP-Vernon-CA-8c4c6fd2-ccb6-435c-ae96-71a9c1030cae,1P,Others,OTHER,Others,FC,262
42710821,"Healthcare Sc, LLC-Lockport-IL-c052bc4a-6571-45cb-a7f4-3b57e9893161",1P,Others,OTHER,Others,FC,176
48093206,Flybar Inc - Newburgh NY,1P,Others,OTHER,Others,FC,8
3686803,BESPOLITAN INC-Wood Ridge-NJ-3,1P,Others,OTHER,Others,FC,8553
5211217,"EMERY JENSEN DISTRIBUTION, LLC-Plant City-FL-5dedd56e-fbde-4aa4-92e3-e80b1a662244",1P,Others,OTHER,Others,FC,1257
627141,S&D Kids Online LLC - 627141 - MP,1P,Others,OTHER,Others,FC,1223
62832634,DELTICOM NORTH AMERICA INC-San Diego-CA-34,1P,Others,OTHER,Others,FC,94
83912613,YAHEE TECHNOLOGIES CORP.-Kansas City-MO-13,1P,Others,OTHER,Others,FC,32
47929202,Sport Squad Inc - Riverside CA,1P,Others,OTHER,Others,FC,17
47482205,ON DEMAND TIRES LLC-Goodlettsville-TN-442f4cf7-db29-42a3-998a-3a4b85f8adfc,1P,Others,OTHER,Others,FC,710
73332203,SPORT DIMENSION INC-South Gate-CA-5089ef40-17c3-4f93-8911-cd4e1559852a,1P,Others,OTHER,Others,FC,178
7042144,US NOVA LLC-Bloomington-CA-7862afd4-97f7-457a-b0cc-619c9d90cd09,1P,Others,OTHER,Others,FC,30
